mep_id;name;profile_url;email;x_url;x_handle;political_group;country;national_party;country_and_national_party
244571;HomeNikos PAPANDREOU;https://www.europarl.europa.eu/meps/en/244571;;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Greece;PASOK-KINAL (Greece);"Greece
						 
							 - PASOK-KINAL (Greece)"
256952;HomeNikos PAPPAS;https://www.europarl.europa.eu/meps/en/256952;;;;The Left group in the European Parliament - GUE/NGL;Greece;Coalition of the Radical Left (Greece);"Greece
						 
							 - Coalition of the Radical Left (Greece)"
257040;HomeNicolás PASCUAL DE LA PARTE;https://www.europarl.europa.eu/meps/en/257040;;https://x.com/nicolasdlparteJuan;nicolasdlparteJuan;Group of the European People's Party (Christian Democrats);Spain;Partido Popular (Spain);"Spain
						 
							 - Partido Popular (Spain)"
36392;HomeAldo PATRICIELLO;https://www.europarl.europa.eu/meps/en/36392;;;;Patriots for Europe Group;Italy;Lega (Italy);"Italy
						 
							 - Lega (Italy)"
197466;HomeJutta PAULUS;https://www.europarl.europa.eu/meps/en/197466;;https://twitter.com/juttapaulusrlp;juttapaulusrlp;Group of the Greens/European Free Alliance;Germany;Bündnis 90/Die Grünen (Germany);"Germany
						 
							 - Bündnis 90/Die Grünen (Germany)"
110673;HomeAna Miguel PEDRO;https://www.europarl.europa.eu/meps/en/110673;;https://x.com/anampedro;anampedro;Group of the European People's Party (Christian Democrats);Portugal;Partido do Centro Democrático Social-Partido Popular (Portugal);"Portugal
						 
							 - Partido do Centro Democrático Social-Partido Popular (Portugal)"
257126;HomeGaetano PEDULLA';https://www.europarl.europa.eu/meps/en/257126;;;;The Left group in the European Parliament - GUE/NGL;Italy;Movimento 5 Stelle (Italy);"Italy
						 
							 - Movimento 5 Stelle (Italy)"
256903;HomeThomas PELLERIN-CARLIN;https://www.europarl.europa.eu/meps/en/256903;;https://x.com/thpellerin;thpellerin;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;France;Place publique (France);"France
						 
							 - Place publique (France)"
30123;HomeGuillaume PELTIER;https://www.europarl.europa.eu/meps/en/30123;;https://twitter.com/G_Peltier?ref_src=twsrc^google|twcamp^serp|twgr^author;G_Peltier;European Conservatives and Reformists Group;France;Identité Libertés (France);"France
						 
							 - Identité Libertés (France)"
197845;HomeTsvetelina PENKOVA;https://www.europarl.europa.eu/meps/en/197845;;https://twitter.com/tsvetypenkova;tsvetypenkova;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Bulgaria;Bulgarian Socialist Party (Bulgaria);"Bulgaria
						 
							 - Bulgarian Socialist Party (Bulgaria)"
126699;HomeGilles PENNELLE;https://www.europarl.europa.eu/meps/en/126699;;;;Patriots for Europe Group;France;Rassemblement national (France);"France
						 
							 - Rassemblement national (France)"
197738;HomeLídia PEREIRA;https://www.europarl.europa.eu/meps/en/197738;;https://twitter.com/lidiafopereira;lidiafopereira;Group of the European People's Party (Christian Democrats);Portugal;Partido Social Democrata (Portugal);"Portugal
						 
							 - Partido Social Democrata (Portugal)"
257019;HomeAlvise PÉREZ;https://www.europarl.europa.eu/meps/en/257019;;;;Non-attached Members;Spain;Se Acabó la Fiesta (Spain);"Spain
						 
							 - Se Acabó la Fiesta (Spain)"
197573;HomeKira Marie PETER-HANSEN;https://www.europarl.europa.eu/meps/en/197573;;https://twitter.com/kira_mph;kira_mph;Group of the Greens/European Free Alliance;Denmark;Socialistisk Folkeparti (Denmark);"Denmark
						 
							 - Socialistisk Folkeparti (Denmark)"
257257;HomeHristo PETROV;https://www.europarl.europa.eu/meps/en/257257;;;;Renew Europe Group;Bulgaria;We continue the change – Democratic Bulgaria (Bulgaria);"Bulgaria
						 
							 - We continue the change – Democratic Bulgaria (Bulgaria)"
257150;HomeMichele PICARO;https://www.europarl.europa.eu/meps/en/257150;;https://x.com/PicaroMichele?t=n5AgEFVE7fXe1JFwpGKd0g&s=09;PicaroMichele;European Conservatives and Reformists Group;Italy;FRATELLI D' ITALIA (Italy);"Italy
						 
							 - FRATELLI D' ITALIA (Italy)"
124846;HomePina PICIERNO;https://www.europarl.europa.eu/meps/en/124846;;https://twitter.com/pinapic;pinapic;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Italy;Partito Democratico (Italy);"Italy
						 
							 - Partito Democratico (Italy)"
112744;HomeTonino PICULA;https://www.europarl.europa.eu/meps/en/112744;;https://twitter.com/TPicula;TPicula;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Croatia;Socijaldemokratska partija Hrvatske (Croatia);"Croatia
						 
							 - Socijaldemokratska partija Hrvatske (Croatia)"
256877;HomePascale PIERA;https://www.europarl.europa.eu/meps/en/256877;;;;Patriots for Europe Group;France;Rassemblement national (France);"France
						 
							 - Rassemblement national (France)"
40599;HomeSirpa PIETIKÄINEN;https://www.europarl.europa.eu/meps/en/40599;;https://twitter.com/spietikainen;spietikainen;Group of the European People's Party (Christian Democrats);Finland;Kansallinen Kokoomus (Finland);"Finland
						 
							 - Kansallinen Kokoomus (Finland)"
